Pokorny_entry	English_gloss
blou-, bhlou-?, plou-	flea
bol-	bulb, tuber
brangh-, brongh-?	hoarse?
breuq-	to jump
bronk-	to lock, shut in
bu-	lip; kiss, buss
1 bhā-, bhō-, bhə-	to shine, glisten
2 bhā-	to speak
bhabhā	bean
bhā̆d-	good, better
1 bhag-	to divide, apportion
2 bhag-	sharp
bhāgó-s	beech (tree)
bhā̆gh-	bog, swamp, lowland
bhāg̑hú-s	elbow, forearm
bhar- : bhor- : bhr̥-	burr, stubble; something jutting out
bharu-	(fir) tree, forest
bhares-, bhores-	point, bristle, stubble (with formants)
bhardhā	beard
bhareku̯-, or bhereku̯-	to farce, stuff full
bhares-	barley
bhasko-	heap, bundle, fascicle
bhāso-, or bhēso-	(large bird of prey)
bhāt- : bhət-	to bat, hit
1 bhā̆u- : bhū̆-	to hit, beat
2 bhāu-	to shine, glisten
1 b(h)e, and b(h)eg̑h	beside, outside, without
2 bhē̆, bhō̆	(emphatic particle)
bhē-, bhō-	to warm, bake, roast, fry
bhebhru-, bhebhro-	glittering; bright brown
1 bhedh-	to dig, stab, pierce, embed
2 bhedh-	to flex, bend, crook
bheg-, bheng-	to bang, break, smash
bhēgh- : bhōgh-	to resist, dispute
bhegu̯-	to flee, run away
bhei-	bee (insect)
bheid-	to bite, prick, pierce, split
1 bheidh-	to force; advise, confide, encourage
2 bheidh-	to bind, plait
bhei(ə)-, bhī-	to hit
bheigu̯-	to shine, glitter?
1 bhel-, Balto-Slavic also bhelə-	glittering white
2 bhel-	henbane
3 bhel-, bhlē-	to grow, spread, swell, inflate
4 bhel-, and bhlē-, bhlō-, bhlə-	leaf, foil, blade; bloom
5 bhel-, chiefly with suffixes: bheləg̑-, bhelə-n-g̑-, bheleg̑-, bhl̥k̑-	balk, beam, rafter
6 bhel-	to speak, bell, bellow, resound
bh(e)lāg-	weak, silly, ridiculous
bheld-	to hit, poke
bheleg-	to shine, glisten
bheleu-	to hit, weaken; ill, weak
bhelg̑h-	to swell, bulge, billow
bhen-	to hit, wound
bhend-	to sing, rejoice
bhendh-	to tie, bind
bheng̑h-, bhn̥g̑h-, adj. bhn̥g̑hú-s	fat, thick, dense
1 bher-	to bear, bring, carry
2 bher-	to boil, swell, well up
3 bher-	to bore, cut, scrape, use sharp tool
4 bher-	to hum, buzz
5 bher-	shining; bright brown
6 bher-	to cook, bake, fry, roast
7 bher-	to plait, weave
bheredh-, bhṛdho-	to cut; board
bhereg-	(onomatopoeic: to bark, cry, roar, etc.)
bherəg̑-, bhrēg̑-	to shine; bright, white
bhereg̑h-, bherg̑hos-	high, noble; barrow, mountain
bherək̑-, bhrēk̑-	to shine, glitter
1 bherem-	to stand out; brim, edge, hem
2 bherem-	to hum, buzz, drone
bheres-	quick, festinate
bh(e)reu- : bh(e)rū̆-	to brew, boil, surge, be wild
bherg̑h-	to keep, hide, bury
bherug-, bhrug-, bhorg-	throat
1 bhes-	to spread, smear, rub on
2 bhes-	to blow, breathe
bheu-, bheu̯ə-, bhu̯ā-, bhu̯ē- : bhō̆u- : bhū-	to be, exist; grow, prosper
bheudh-, nasalized bhu-n-dh-	to awaken, be aware
1 bheug-	to flee, escape, seek refuge
2 bheug-, bheugh-	to free, put away
3 bheug-, bheugh-	to bow, flex, bend, crook
4 bheug-	to enjoy
bhidh-	pot, vat, cauldron
bhili-, bhilo-	good, friendly, harmonious
bhlag̑-	to hit, flog, flail
bhlagh-men-	priest, flamen, wizard
bhlē-	to bleat, weep, howl
bhlē̆d-, bhl̥d-	to boil, bubble up; boast, chatter
bhlegu̯-	to swell, become bloated
1 bhlē̆i- : bhləi- : bhlī-	to shine, glitter
2 bhlei-	to swell, burst, blow up
bhlē̆ig̑-, bhlīg̑-	to shine, glitter
bhleiq-	to shine, glitter
bhlendh-	dim, pale, blond, reddish
bhles-	to shine, glitter
bhleu-	to bloat, swell, blow up; flow
1 bhlēu- : bhləu- : bhlū-	to shine, glitter
2 bhlēu- : bhləu- : bhlū-	bad, weak, miserable
bhleu-(k-)	to burn
bhlē-u̯o-s	a light color (blue, yellow)
bhleus-	mild, weak
bhləido-s	pale, light
bhlīg̑- : *bhlēig-	to hit, strike, inflict
bhlō̆k-	flock, tow, wool; cloth?
bhlos-q-	(onomatopoeic: to bark, cry, roar, etc.)
bhog-	beck, flowing water
bhō̆gh-, or bhā̆gh-	bog, swamp, lowland
bhōi- : bhəi- : bhī-, bhii̯ə-	to fear, be afraid
bhok-	to burn?
bholo-	mist, smoke, steam?
bhorgu̯o-s	gruff, unfriendly
bhoso-s	bare, naked
bhoudhi-	victory
bhouku̯os	a buzzing insect
bhrag-, better bhrə-g-	to scent, smell
bhrā́ter-	brother, family member
bhred(h?)-	to wade, wander
1 bhreg̑-	to break
2 bhreg̑-	to stick up
bhrēi-, bhrī̆-	to fray, pierce, cut with sharp tool
bhren-	to bulge, stick out; edge, brink
bhrendh-	to sprout, swell up
bhrenk-, bhronk-	to bring
bhre(n)k̑-	to err, be ensnared
bhren-to-s	deer, horned animal
bhres-	to burst, break
bhreu-, bhreu-d-	to swell, sprout
1 bhrē̆u-, bhrū̆-	to break, cut, pierce
2 bhrēu-, bhrū-	edge
bhreu-k̑-	to strike, throw
1 bhreu-s-	to swell, sprout
2 bhreu-s-	to bruise, break to pieces
