Reflex,Etyma
dromond,3. der-
-dromous,3. der-
drone,3. dher-
droop,dhreu-
dropsy,oku̯-
drop,dhreu-
drosera,2. ere-s-
droshky,dherāgh-
drosophila,2. ere-s-
dross,1. dher-
drove,dhreibh-
drown,dhreg̑-
drowse,dhreu-
Druadan,2. dhreugh-
drub,dhrebh-
druid,"deru- , 2. u̯(e)id-"
drunk,dhreg̑-
drupe,peku̯-
dryad,deru-
dryopithecine,deru-
Dúnharg,"4. dheu- , 3. kar-"
Dúnhere,"4. dheu- , koro-s"
duad,du̯ō(u)
dual,du̯ō(u)
dubious,du̯ō(u)
dub,dheubh-
ducal,deuk-
ducat,deuk-
duce,deuk-
duchess,deuk-
duchy,deuk-
ductile,deuk-
duct,deuk-
dudeen,4. dheu-
duel,dāu-
duende,dem-
duet,du̯ō(u)
due,ghabh-
dug,dhēigu̯-
duke,deuk-
Dukhobor,"3. bher- , 4. dheu-"
dulcet,dl̥kú-
dulcify,dl̥kú-
dull,4. dheu-
dulse,dhā̆l-
Duma,2. dhē-
dumb,4. dheu-
dumka,2. dhē-
dummkopf,4. dheu-
dump,dheu-b-
Duncan,4. dheu-
dunderhead,1. (s)ten-
Dunder,1. (s)ten-
dune,4. dheu-
dungeon,dem-
dung,1. dhengh-
Dunharrow,"4. dheu- , 3. kar-"
dunk,1. teng-
Dunland,"4. dheu- , 3. lendh-"
dun,4. dheu-
duodecimal,dek̑m̥
duo,du̯ō(u)
duo-,du̯ō(u)
duplex,du̯ō(u)
duple,du̯ō(u)
duplicate,du̯ō(u)
duplicity,du̯ō(u)
durable,3. deu-
duramen,deru-
durance,3. deu-
duration,3. deu-
durbar,dhu̯ē̆r-
duress,deru-
during,3. deu-
durst,dhers-
durum,deru-
dusk,4. dheu-
dust,4. dheu-
Dutch,tēu-
duty,ghabh-
duumvir,u̯ī̆ro-s
duvetyn,4. dheu-
duvet,4. dheu-
Dwaling,4. dheu-
Dwalin,4. dheu-
dwarf,dhu̯ergh-
Dwarrowdelf,"dhelbh- , dhu̯ergh-"
dwarves,dhu̯ergh-
dwell,4. dheu-
dwelt,4. dheu-
dwimmer-crafty,3. ger-
dwimmerlaik,3. leig-
Dwimorberg,bhereg̑h-
Dwimordene,2. dhen-
dwindle,2. dheu-
dyad,du̯ō(u)
dye,4. dheu-
dynamic,2. deu-
dynamite,2. deu-
dynasty,2. deu-
dynast,2. deu-
dysarthria,"1. ar- , dus-"
dyscrasia,k̑erə-
dysentery,1. en
dysgenic,1. g̑en-
dysgraphia,gerebh-
dyslexia,"dus- , leg̑-"
dysmenorrhea,"dus- , mēnōt"
dyspepsia,peku̯-
dysplasia,"dus- , pelə-"
dyspnea,pneu-
dysprosium,1. ei-
dys-,dus-
Éomer,"ek̑u̯o-s , marko-"
Éomund,"ek̑u̯o-s , mə-r"
Éored,"ek̑u̯o-s , reidh-"
Éothain,"ek̑u̯o-s , 1. tek-"
Éothéod,"ek̑u̯o-s , tēu-"
Éowyn,"ek̑u̯o-s , 1. u̯en-"
épée,sp(h)ē-
Eärendil,au̯es-
each,2. lē̆ig-
eager,2. ak̑-
Eanmund,7. au̯-
ean,agu̯h-no-s
early,ā̆ier-
earl,3. er-
earnest,3. er-
earn,es-en-
earthen,4. er-
earth,4. er-
earwig,u̯eg̑h-
ear,2. ōus-
Eastemnet,au̯es-
Easterlings,au̯es-
eastern,au̯es-
Easter,au̯es-
Eastfarthing,"au̯es- , ku̯etu̯er-"
Eastfold,"au̯es- , pelə-"
Eastlands,au̯es-
eastward,au̯es-
east,au̯es-
eaten,ed-
eat,ed-
eavesdrop,upo
eaves,upo
ebb,apo-
ebullience,2. b(e)u-
eccentric,k̑ent-
ecchymosis,1. g̑heu-
ecclesia,6. kel-
eccrine,4. (s)ker-
ecdysis,1. deu-
ecesis,u̯eik̑-
echidna,angu̯(h)i-
echino-,angu̯(h)i-
echinus,angu̯(h)i-
echin-,angu̯(h)i-
echo,u̯ā̆gh-
eclair,6. kel-
eclampsia,lā[i]p-
eclectic,leg̑-
eclipse,leiku̯-
eclogite,leg̑-
eclogue,leg̑-
eclosion,klēu-
ecology,leg̑-
economic,1. nem-
economy,1. nem-
ecru,1. kreu-
ecstasy,stā-
ecto-,eg̑hs
ecumenical,u̯eik̑-
ecu,skē̆i-
eczema,i̯es-
ec-,eg̑hs
edacious,ed-
edaphic,sed-
eddy,eti
edelweiss,3. k̑uei-
edema,oid-
edentate,ed-
edentulous,ed-
edge,2. ak̑-
edible,ed-
edict,deik̑-
edifice,2. dhē-
edify,2. dhē-
edition,dō-
Edoras,2. edh-
educate,deuk-
educe,deuk-
eel,ēl-
efface,2. dhē-
effect,2. dhē-
effeminate,dhē(i)-
effendi,sen-
efferent,1. bher-
effervesce,2. bher-
effete,dhē(i)-
efficacious,2. dhē-
efficient,2. dhē-
effigy,dheig̑h-
effloresce,4. bhel-
effluent,bhleu-
effluvium,bhleu-
efflux,bhleu-
effort,bhereg̑h-
effulgent,1. bhel-
effuse,1. g̑heu-
eftsoons,apo-
egg,ō(u̯)i̯-om
eglantine,2. ak̑-
egoist,eg̑-
egotism,eg̑-
ego,eg̑-
egregious,1. ger-
egress,ghredh-
eicosanoid,u̯ī-k̑m̥t-ī
eiderdown,4. dheu-
eider,ētī-
eidetic,2. u̯(e)id-
eidolon,2. u̯(e)id-
eighteen,"dek̑m̥ , ok̑tō(u)"
eightfold,"ok̑tō(u) , 3a. pel-"
eighty,ok̑tō(u)
eight,ok̑tō(u)
einkorn,"g̑er- , oi-no-"
either,ku̯o-
ejaculate,i̯ē-
eject,i̯ē-
eke,au̯eg-
ek-,eg̑hs
eland,1. gel-
elapid,2. lep-
elasmobranch,6. el-
elastic,6. el-
elaterite,6. el-
elater,6. el-
elate,1. tel-
elative,1. tel-
elbow,8. el-
elder,1. el-
eldest,2. al-
eldritch,1. reg̑-
elecampane,7. u̯el-
election,leg̑-
elect,leg̑-
elevate,legu̯h-
eleven,oi-no-
Elfhelm,"albho- , 4. k̑el-"
elfin,albho-
Elfstan,"albho- , stāi-"
Elfstone,"albho- , stāi-"
elfs,albho-
Elfwine,"albho- , 1. u̯en-"
elf,albho-
elide,laidh-
elite,leg̑-
elixir,k̑sē̆-ro-
elk,1. el-
ellipsis,leiku̯-
ell,8. el-
elm,1. el-
elocution,tolku̯-
elodea,selos-
eloign,5. del-
elongate,5. del-
elope,1. ku̯elp-
else,1. al-
eluant,lou-
elucidate,leuk-
elucubration,leuk-
elude,leid-
eluent,lou-
elute,lou-
eluvium,lou-
Elven,albho-
elven,albho-
elves,albho-
Elvish,albho-
elytron,7. u̯el-
emaciate,māk̑-
emanate,mā-no-
emancipate,mə-r
emarginate,mereg̑-
embassage,ag̑-
embassy,ag̑-
embed,1. bhedh-
embellish,2. deu-
ember,"4. ā̆i- , eus-"
emblements,4. bhel-
embolism,2. gu̯el-
emboly,2. gu̯el-
embouchure,2. b(e)u-
embrace,mreg̑hu-
embrocate,meregh-
embroil,bh(e)reu-
emend,mendā
emerge,1. mezg-
emeritus,(s)mer-
emesis,u̯em-
emetic,u̯em-
-emia,sei-
emigrate,2. mei-
eminent,1. men-
emit,smeit-
emmenagogue,mēnōt
emmet,1. mai-
emollient,1. mel-
emolument,1. mel-
emotion,2. meu̯-
empennage,2. pet-
emperor,2d. per-
emphasis,1. bhā-
emphysema,1. pū̆-
empiric,2e. per-
employ,plek̑-
emporium,2b. per-
emprise,ghend-
empty,1. med-
empyema,2. pū̆-
empyreal,peu̯ōr
emulsion,mē̆lg̑-
emunctory,2. meug-
em-,1. en
enamel,1. mel-
enamor,am(m)a
enantiomer,ant-s
enantiomorph,ant-s
enarthrosis,1. ar-
enate,1. g̑en-
encaustic,2. k̑ēu-
enceinte,1. k̑eu-
encephalo-,ghebh-el-
encephal-,ghebh-el-
enchant,kan-
enchiridion,g̑hesor-
enclave,klēu-
enclitic,k̑lei-
encore,ghe-
encounter,kom
encroach,3. ger-
encrust,1. kreu-
encrypt,krā[u]-
encyclical,1. ku̯el-
encyclopedia,pōu-
-end,ant-s
endeavor,ghabh-
endemic,dā
endergonic,2. u̯erg̑-
endocardium,k̑ered-
endocrine,4. (s)ker-
endoergic,"1. en , 2. u̯erg̑-"
endogenous,1. g̑en-
endometrium,mātér-
endosteum,ost(h)-
endothecium,1. en
endothelium,dhē(i)-
endow,dō-
endo-,1. en
endue,2. eu-
endure,deru-
end,ant-s
enema,i̯ē-
enemy,am(m)a
energetic,2. u̯erg̑-
energy,2. u̯erg̑-
enervate,snēu-
enfeoff,2. pek̑-
enfilade,gu̯heiə-
enfleurage,4. bhel-
enforce,bhereg̑h-
engage,u̯adh-
engender,1. g̑en-
engine,1. g̑en-
engrave,2. ghrebh-
engross,gu̯retso-
enhance,2. al-
enigmatic,5. ai-
enigma,5. ai-
enjoin,2. i̯eu-
enjoy,gāu-
enkephalin,1. en
ennead,e-neu̯en
ennui,2. od-
enormous,2. g̑en-
enough,enek̑-
ensemble,2. sem-
ensiform,n̥si-s
ensorcell,4. ser-
ensorcel,4. ser-
enstatite,stā-
ensue,1. seku̯-
entasis,1. ten-
enteric,1. en
enteron,1. en
enterprise,ghend-
entertain,1. ten-
enter,1. en
enthusiasm,dhēs-
enthymeme,4. dheu-
Enting,ed-
entire,tag-
Entish,ed-
entity,es-
Entmaiden,"ed- , maghos"
Entmoot,"ed- , mōd-"
entomology,1. tem-
entomo-,1. tem-
entom-,1. tem-
ento-,1. en
entrails,1. en
entrap,3. der-
entrepreneur,ghend-
entresol,1. sel-
entropy,1. en
Entwade,"ed- , u̯ādh-"
Entwash,"9. au̯(e)- , ed-"
Entwives,"ed- , u̯eip-"
Entwood,"ed- , u̯idhu-"
Ent,ed-
ent-,1. en
enumerate,1. nem-
enunciate,1. neu-
enuresis,9. au̯(e)-
envoi,u̯eg̑h-
envoy,u̯eg̑h-
envy,2. u̯(e)id-
enzyme,1. i̯eu-
en-,1. en
eohippus,ek̑u̯o-s
eon,aiu̯-
Eorlingas,3. er-
Eorl,3. er-
eosin,au̯es-
Eos,au̯es-
eo-,au̯es-
epact,ag̑-
epee,sp(h)ē-
epeirogeny,āpero-
epenthesis,2. dhē-
ephebe,i̯ēgu̯ā
ephedrine,sed-
ephemeral,āmer-
ephor,8. u̯er-
epiboly,2. gu̯el-
epicardium,k̑ered-
epicene,kom
epicritic,4. (s)ker-
epicycle,1. ku̯el-
epic,u̯eku̯-
epidemic,dā
epidermis,4. der-
epidiascope,spek̑-
epididymis,du̯ō(u)
epidote,dō-
epigastrium,gras-
epigeal,epi
epigene,epi
epigone,1. g̑en-
epigram,gerebh-
epigraph,gerebh-
epilepsy,(s)lā̆gu̯-
epilogue,leg̑-
epimysium,mūs
epiphany,1. bhā-
epiphysis,bheu-
episcopal,spek̑-
episode,sed-
epistasis,stā-
epistaxis,stag-
epistemology,leg̑-
epistle,3. stel-
epistyle,stā-
epitaph,dhembh-
epitasis,1. ten-
epithelium,dhē(i)-
epithet,2. dhē-
epitome,1. tem-
epi-,epi
epoch,seg̑h-
epode,6. au̯-
eponymous,en(o)mn̥-
eponym,en(o)mn̥-
epos,u̯eku̯-
epsilon,1. bhes-
equanimity,3. an(ə)-
equestrian,ek̑u̯o-s
equine,ek̑u̯o-s
equinox,neku̯-(t-)
equiponderate,1. (s)pen(-d)-
equip,skē̆i-
equisetum,3. sē(i)-
equitant,ek̑u̯o-s
equitation,ek̑u̯o-s
equivalent,u̯al-
equivocal,u̯eku̯-
eradicate,u̯(e)rād-
erase,2. rēd-
era,ai̯os-
Erebus,regu̯os-
erect,1. reg̑-
eremite,5. er-
eremurus,ers-
erepsin,rep-
ere,ā̆ier-
ergative,2. u̯erg̑-
ergograph,2. u̯erg̑-
ergometer,2. u̯erg̑-
ergonomics,2. u̯erg̑-
ergo,1. reg̑-
erg,2. u̯erg̑-
Erin,pei̯(ə)-
Erkenbrand,bh(e)reu-
erne,1. er-
erode,2. rēd-
erogenous,1. g̑en-
errant,2. ere-s-
erratic,2. ere-s-
erratum,2. ere-s-
erroneous,2. ere-s-
error,2. ere-s-
err,2. ere-s-
ersatz,sed-
Erse,pei̯(ə)-
erst,ā̆ier-
eruct,reu-b-
erupt,2. reu-
erysipelas,3b. pel-
erythema,reudh-
erythro-,reudh-
erythr-,reudh-
escadrille,ku̯etu̯er-
escarole,ed-
escarpment,4. (s)ker-
eschatology,eg̑hs
escheat,1. k̑ad-
escudo,skē̆i-
esculent,ed-
escutcheon,skē̆i-
esophagus,1. bhag-
esoteric,1. en
esotropia,1. en
esparto,3. sper-
especial,spek̑-
esperance,3. sp(h)ē(i)-
espionage,spek̑-
esplanade,pelə-
espouse,spend-
espresso,3. per-
espy,spek̑-
esquire,skē̆i-
essay,ag̑-
essence,es-
essive,es-
establish,stā-
estaminet,stā-
estancia,stā-
estate,stā-
esteem,ai̯os-
ester,2. ak̑-
estimate,ai̯os-
estival,ai-dh-
estivate,ai-dh-
estrange,eg̑hs
estray,5. ster-
estrogen,1. eis-
estrone,1. eis-
estrus,1. eis-
estuary,ai-dh-
esurient,ed-
etagere,stā-
etamine,stā-
etch,ed-
eternal,aiu̯-
eterne,aiu̯-
eternity,aiu̯-
etesian,u̯et-
ether,ai-dh-
ethic,se-
ethmoid,1. sē(i)-
ethnic,se-
ethno-,se-
ethos,se-
etiolate,stē̆ib(h)-
etiology,leg̑-
etiquette,(s)teig-
Etna,ai-dh-
etouffee,4. dheu-
Ettendales,"1. dhel- , ed-"
Ettenmoors,"ed- , mā-no-"
etude,1. (s)teu-
etui,1. (s)teu-
etweese,1. (s)teu-
etwee,1. (s)teu-
eucalyptus,4. k̑el-
eucaryote,esu-s
Eucharist,1. g̑her-
eugenics,1. g̑en-
eugenic,1. g̑en-
euglena,g̑el-
eukaryote,esu-s
eulogy,leg̑-
Eumenides,3. men-
eunuch,seg̑h-
euonymus,en(o)mn̥-
eupatrid,pətḗ(r)
eupeptic,esu-s
euphemism,2. bhā-
euphony,2. bhā-
euphoria,1. bher-
Euphrates,esu-s
euphuism,esu-s
eupnea,pneu-
eureka,4. u̯er-
Eurydice,9. u̯er-
eury-,9. u̯er-
eutectic,tā-
Euterpe,terp-
euthanasia,4. dheu-
eutherian,g̑hu̯ē̆r-
euxenite,ghosti-s
eu-,esu-s
evacuate,1. eu-
evade,u̯ādh-
evaginate,1. u̯ā̆g-
evaluate,u̯al-
evanesce,1. eu-
evaporate,keu̯əp-
evection,u̯eg̑h-
Evendim,"dhem- , epi"
evening-star,"epi , 2. stē̆r-"
evening,epi
Evenstar,"epi , 2. stē̆r-"
eventide,"dā , epi"
eventual,gu̯ā-
event,gu̯ā-
even,i̯em-
Evermind,"aiu̯- , 3. men-"
evert,3h. u̯er-
every,2. lē̆ig-
ever,aiu̯-
evict,2. u̯eik-
evident,2. u̯(e)id-
evil,upo
evince,2. u̯eik-
evoke,u̯eku̯-
evolve,7. u̯el-
evulsion,8. u̯el-
evzone,i̯ō[u]s-
ewer,aku̯ā-
ewe,óu̯i-s
exacerbate,2. ak̑-
exacta,eg̑hs
exact,"ag̑- , eg̑hs"
exalt,2. al-
examine,ag̑-
example,em-
exanthema,eg̑hs
exanthem,eg̑hs
exarch,eg̑hs
Excalibur,1. kal-
excavate,1. k̑eu-
exceed,sed-
excel,1. kel-
except,kap-
excerpt,4. (s)ker-
exchange,(s)kamb-
exchequer,kþē(i)-
excise,(s)k(h)ai-
excite,kēi-
exclaim,6. kel-
exclude,klēu-
excommunicate,2. mei-
excoriate,4. (s)ker-
excrement,4. (s)ker-
excrescence,eg̑hs
excrete,4. (s)ker-
excursion,2. k̑ers-
execrate,sak-
execute,1. seku̯-
exedra,eg̑hs
exegesis,sāg-
exemplary,eg̑hs
exemplify,em-
exemplum,eg̑hs
exempt,em-
exenterate,1. en
exercise,areq-
exergonic,"eg̑hs , 2. u̯erg̑-"
exergue,2. u̯erg̑-
exert,4. ser-
exfoliate,4. bhel-
exhaust,aus-
exhibit,ghabh-
exhilarate,3. sel-
exhort,1. g̑her-
exhume,g̑hðem-
exigent,ag̑-
exiguous,ag̑-
exile,3. ā̆l-
exine,"eg̑hs , 1. u̯ei-"
exist,stā-
exit,"eg̑hs , 1. ei-"
exocrine,4. (s)ker-
exodus,eg̑hs
exoergic,"eg̑hs , 2. u̯erg̑-"
exonerate,enos-
exophthalmos,oku̯-
exordium,1. ar-
exosporium,eg̑hs
exostosis,ost(h)-
exoteric,eg̑hs
exotic,eg̑hs
exo-,eg̑hs
expand,1. pet-
expatriate,pətḗ(r)
expectorate,peg-
expect,spek̑-
expedite,2. pē̆d-
expel,2a. pel-
expend,1. (s)pen(-d)-
experience,2e. per-
experiment,2e. per-
expert,2e. per-
explain,pelə-
expletive,1. pel-
explicate,plek̑-
explicit,plek̑-
exploit,plek̑-
exponent,apo-
export,2b. per-
exposé,apo-
expose,apo-
expostulate,4. perk̑-
expound,apo-
express,3. per-
expropriate,2a. per-
expunge,peuk̑-
expurgate,1. peu-
exscind,skē̆i-
exsert,4. ser-
exsiccate,seiku̯-
extant,stā-
extend,1. ten-
extenuate,1. ten-
exterior,eg̑hs
exterminate,4. ter-
external,eg̑hs
extinguish,(s)teig-
extol,1. tel-
extort,terk-
extract,trāgh-
extra,eg̑hs
extra-,eg̑hs
extreme,eg̑hs
extrinsic,1. seku̯-
extrorse,3. u̯er-
extroversion,3h. u̯er-
extrovert,3h. u̯er-
extrude,tr-eu-d-
exuberant,ēudh-
exuberate,"eg̑hs , ēudh-"
exude,2. su̯eid-
exult,4. sel-
exuviae,2. eu-
ex,eg̑hs
ex-,eg̑hs
eyas,sed-
eyelet,oku̯-
eye,oku̯-
eyre,1. ei-
eyrir,ai̯os-
fable,2. bhā-
fabliau,2. bhā-
fabricate,2. dhabh-
fabric,2. dhabh-
fabulous,2. bhā-
facade,2. dhē-
facet,2. dhē-
face,2. dhē-
facial,2. dhē-
-facient,2. dhē-
facies,2. dhē-
facile,2. dhē-
facilitate,2. dhē-
facsimile,2. dhē-
-faction,2. dhē-
faction,2. dhē-
factitious,2. dhē-
factitive,2. dhē-
factory,2. dhē-
factor,2. dhē-
factotum,tēu-
fact,2. dhē-
faculty,2. dhē-
fado,2. bhā-
faena,2. dhē-
Faerie,2. bhā-
faineant,dheig̑h-
faint,dheig̑h-
fain,1. pek̑-
Fairbairn,"1. bher- , 1. pek̑-"
fairly,1. pek̑-
fairy,2. bhā-
fair,1. pek̑-
faith,1. bheidh-
fajita,bhasko-
falcon,6. pel-
faldstool,3a. pel-
fallen,phō̆l-
Fallohide,"6. pel- , 2. (s)keu-"
fallow,6. pel-
fall,phō̆l-
faltboat,3a. pel-
fame,2. bhā-
family,2. dhē-
famine,3. dhē-
famish,3. dhē-
famous,2. bhā-
fanatic,dhēs-
fandango,2. bhā-
Fang,pā̆k̑-
fang,pā̆k̑-
fantasize,1. bhā-
fantasy,1. bhā-
fantoccini,2. bhā-
fan,1. u̯āt-
farce,bhareku̯-
farci,bhareku̯-
farcy,bhareku̯-
fare,2b. per-
farinaceous,bhares-
farina,bhares-
farm,2. dher-
farouche,dhu̯ē̆r-
farraginous,bhares-
farrago,bhares-
farrow,pork̑o-s
farther,2a. per-
Farthing,ku̯etu̯er-
farthing,ku̯etu̯er-
fartlek,2b. per-
fart,perd-
far,2a. per-
fasces,bhasko-
fascia,bhasko-
fascicle,bhasko-
fascinate,bhasko-
fascine,bhasko-
fascism,bhasko-
fashion,2. dhē-
fasten,pasto-
fastidious,bhares-
fastigiate,bhares-
fastigium,bhares-
Fastred,"1. ar- , pasto-"
fast,pasto-
fate,2. bhā-
father,pətḗ(r)
fathom,1. pet-
fatidic,deik̑-
fatigue,3. dhē-
fat,pei̯(ə)-
faubourg,bhereg̑h-
fauna,dhau-
Faunus,dhau-
faun,dhau-
fauteuil,3a. pel-
fauvism,6. pel-
favela,bhabhā
favorite,ghou̯(ē)-
favor,ghou̯(ē)-
fawn,1. pek̑-
fay,2. bhā-
fealty,1. bheidh-
fear,2e. per-
feasible,2. dhē-
feast,dhēs-
feather,2. pet-
feature,2. dhē-
feat,2. dhē-
febrifuge,1. bheug-
febrile,dhegu̯h-
feckless,2. dhē-
fecund,dhē(i)-
federal,1. bheidh-
federate,1. bheidh-
federation,1. bheidh-
fed,pā-
feeble,bhlē-
feed,pā-
feel,3a. pel-
feet,2. pē̆d-
fee,2. pek̑-
feign,dheig̑h-
feint,dheig̑h-
feist,pezd-
Felaróf,1. pel-
feldspar,pelə-
felicific,dhē(i)-
felicitate,dhē(i)-
felicity,dhē(i)-
fellatio,dhē(i)-
felloe,pelk̑-
Fellowship,"legh- , 2. pek̑- , 2. (s)kē̆p-"
fellowship,"legh- , 2. pek̑- , 2. (s)kē̆p-"
fellow,"legh- , 2. pek̑-"
felly,pelk̑-
fell,phō̆l-
felon,1. pel-
felt,3a. pel-
felucca,selk-
female,dhē(i)-
feme,dhē(i)-
feminine,dhē(i)-
femto-,penku̯e
fence,2. gu̯hen(-ə)-
fend,2. gu̯hen(-ə)-
Fengel,pā̆k̑-
Fenmarch,"mereg̑- , 2. pen-"
fennel,dhē(i)-
fenugreek,dhē(i)-
fen,2. pen-
feoffment,2. pek̑-
-fer,1. bher-
feral,g̑hu̯ē̆r-
feretory,1. bher-
fere,2b. per-
feria,dhēs-
ferine,g̑hu̯ē̆r-
fermata,2. dher-
ferment,2. bher-
Ferny,u̯er-(e)nā
fern,2b. per-
ferocious,g̑hu̯ē̆r-
ferret,1. bher-
ferrule,1. u̯ei-
ferry,2b. per-
fertile,1. bher-
fervent,2. bher-
fervid,2. bher-
fervor,2. bher-
fesse,bhasko-
fess,bhasko-
-fest,dhēs-
festal,dhēs-
festinate,bheres-
festival,dhēs-
festive,dhēs-
festoon,dhēs-
festschrift,4. (s)ker-
fetal,dhē(i)-
fetch,2. pē̆d-
fete,dhēs-
feticide,"dhē(i)- , (s)k(h)ai-"
fetish,2. dhē-
fetlock,2. pē̆d-
fetter,2. pē̆d-
fettle,1. pē̆d-
fetus,dhē(i)-
feud,2. pek̑-
feuilleton,4. bhel-
feverfew,1. bheug-
fever,dhegu̯h-
few,pōu-
fey,2. peig̑-
fiance,1. bheidh-
fianchetto,kleng-
fiat,bheu-
fibula,dhēigu̯-
-fic,2. dhē-
fichu,dhēigu̯-
fickle,2. peig̑-
fictile,dheig̑h-
fiction,dheig̑h-
-fid,bheid-
fideism,1. bheidh-
fidelity,1. bheidh-
fiducial,1. bheidh-
fiduciary,1. bheidh-
fief,2. pek̑-
fieldfare,2b. per-
field,pelə-
fiend,pē(i)-
fierce,g̑hu̯ē̆r-
fiesta,dhēs-
fife,pī̆p(p)-
fifteen,dek̑m̥
fifth,penku̯e
fifty,penku̯e
fight,2. pek̑-
figment,dheig̑h-
figure,dheig̑h-
figurine,dheig̑h-
filament,gu̯heiə-
filaria,gu̯heiə-
filar,gu̯heiə-
file,2. pū̆-
filial,dhē(i)-
filiate,dhē(i)-
filibuster,prāi-
filiform,"gu̯heiə- , 2. mer-"
filigree,g̑er-
fillet,gu̯heiə-
filly,pōu-
fill,1. pel-
film,3b. pel-
filoplume,"gu̯heiə- , pleus-"
filose,gu̯heiə-
filovirus,"gu̯heiə- , 3. u̯eis-"
fils,dhē(i)-
filter,2a. pel-
filth,2. pū̆-
filtrate,2a. pel-
filum,gu̯heiə-
finca,dhēigu̯-
finch,(s)pingo-
find,pent-
fingernail,onogh-
finger,penku̯e
finocchio,dhē(i)-
finochio,dhē(i)-
fin,1. (s)p(h)ē̆i-
Firefoot,"2. pē̆d- , peu̯ōr"
Fire-mountain,"1. men- , peu̯ōr"
fire,peu̯ōr
Firienfeld,"pelə- , perku̯u-s"
Firienwood,"perku̯u-s , u̯idhu-"
firkin,dā
firmament,2. dher-
firm,2. dher-
Firstborn,"1. bher- , 2a. per-"
first,2a. per-
firth,2b. per-
fir,perku̯u-s
fishgig,dhēigu̯-
fish,peisk-
fissile,bheid-
fission,bheid-
fissure,bheid-
fist,pn̥ksti-
fit,pid-
five,penku̯e
fixate,dhēigu̯-
fixity,dhēigu̯-
fixture,dhēigu̯-
fix,dhēigu̯-
fizzle,2. peis-
fizz,2. peis-
fjeld,peli-s-
fjord,2b. per-
flabellum,3. bhel-
flagellate,bhlag̑-
flagellum,bhlag̑-
flageolet,3. bhel-
flagitious,bhlag̑-
flagrant,bheleg-
flag,1. plā-k-
flail,bhlag̑-
flair,bhrag-
flake,1. plā-k-
flambé,bheleg-
flambeau,bheleg-
flamboyant,bheleg-
flamen,bhlagh-men-
flame,bheleg-
flamingo,bheleg-
flammable,bheleg-
flaneur,pelə-
flange,kleng-
flanken,kleng-
flank,kleng-
flannel,4. u̯el-
flan,plā̆t-
flap,plab-
flatter,plā̆t-
flatulent,3. bhel-
flatus,3. bhel-
flat,plā̆t-
flavescent,3. bhel-
flavin,bhlē-u̯o-s
flavone,bhlē-u̯o-s
flavoprotein,3. bhel-
flavor,3. bhel-
flaw,1. plā-k-
flax,plek̑-
flay,plēk̑-
flea,blou-
fleche,pleuk-
fleck,plēk̑-
fledge,pleu-
fled,pleu-
fleece,pleus-
fleet,pleu-
flee,pleu-
flense,(s)plei-
flesh,plēk̑-
fletcher,pleuk-
flet,plā̆t-
flew,pleu-
flight,pleu-
flinch,kleng-
flinders,(s)plei-
fling,2. plāk-
flint,(s)plei-
flitch,plēk̑-
flit,pleu-
Flói,pleu-
float,pleu-
flock,bhlō̆k-
floc,pleuk-
floe,1. plā-k-
flog,bhlag̑-
flood,pleu-
floor,pelə-
floral,4. bhel-
Flora,4. bhel-
flora,4. bhel-
floret,4. bhel-
floriated,4. bhel-
florid,4. bhel-
florigen,4. bhel-
florilegium,leg̑-
florin,4. bhel-
florist,4. bhel-
-florous,4. bhel-
flotilla,pleu-
flotsam,pleu-
flounce,3. (s)ker-
flounder,plā̆t-
flourish,4. bhel-
flour,4. bhel-
flower,4. bhel-
flown,pleu-
flow,pleu-
fluctuate,bhleu-
fluent,bhleu-
flue,pleu-
flugelhorn,"1. k̑er- , pleu-"
fluid,bhleu-
fluke,1. plā-k-
flume,bhleu-
flung,2. plāk-
fluoride,bhleu-
fluorine,bhleu-
fluorite,bhleu-
fluor,bhleu-
flush,bhleu-
fluster,pleu-
flutter,pleu-
fluvial,bhleu-
fluviomarine,bhleu-
flux,bhleu-
fly,pleu-
foal,pōu-
foam,(s)poimno-
focus,bhok-
fodder,pā-
foeman,2. peig̑-
foe,2. peig̑-
fog,2. pū̆-
foil,2. pū̆-
foison,1. g̑heu-
foist,pn̥ksti-
Folca,1. pel-
Folcred,"1. ar- , 1. pel-"
Folcwine,"1. pel- , 1. u̯en-"
-fold,3a. pel-
Folde,pelə-
fold,3a. pel-
foliage,4. bhel-
folio,4. bhel-
folium,4. bhel-
folkmoot,"mōd- , 1. pel-"
folk,1. pel-
follicle,3. bhel-
folly,3. bhel-
foment,dhegu̯h-
fomite,dhegu̯h-
fondant,1. g̑heu-
fondue,1. g̑heu-
fond,bhudh-m(e)n
fontanel,1. dhen-
font,1. g̑heu-
food,pā-
fool,3. bhel-
footle,1. bhā̆u-
footpad,"2. pē̆d- , pent-"
foot,2. pē̆d-
forage,pā-
foramen,3. bher-
foray,pā-
forbade,bheudh-
forbad,bheudh-
forbear,1. bher-
forbidden,bheudh-
forbid,bheudh-
forbore,1. bher-
forborne,1. bher-
forcemeat,bhareku̯-
forceps,"gu̯her- , kap-"
force,bhereg̑h-
forcipate,gu̯her-
fordo,2. dhē-
ford,2b. per-
forebear,bheu-
foreclose,dhu̯ē̆r-
foredo,2. dhē-
forefather,"2a. per- , pətḗ(r)"
forego,2a. per-
forehead,"kap-ut , 2a. per-"
foreign,dhu̯ē̆r-
Forelithe,"2. leit(h)- , 2a. per-"
