Reflex,Etyma
agraffe,3. ger-
agrapha,gerebh-
agraphia,gerebh-
agrarian,ag̑ro-s
agree,4. gu̯er(ə)-
agria,ag̑ro-s
agriculture,ag̑ro-s
agrimony,ar(e)-g̑-
agrostology,ag̑ro-s
agro-,ag̑ro-s
ague,2. ak̑-
aha,ehem
ahimsa,1. nĕ
aide-de-camp,2. i̯eu-
aide,2. i̯eu-
aid,2. i̯eu-
aight,aku̯ā-
aileron,ag̑-
ail,agh-
airport,1. u̯er-
air,1. u̯er-
aisle,ag̑-
aitchbone,nōt-
ait,aku̯ā-
akimbo,3. bheug-
alae,ag̑-
alarm,1. ar-
alary,ag̑-
alar,ag̑-
alastor,2. lā-
alas,3. lē(i)-
alated,ag̑-
alate,ag̑-
ala,ag̑-
albedo,albho-
albeit,1. al-
albescent,albho-
albino,albho-
albite,albho-
albumen,albho-
album,albho-
alb,albho-
alderman,2. al-
alder,1. el-
Aldor,2. al-
alert,1. reg̑-
aleurone,5. al-
Alexander,1. ner(-t)-
Alexandrian,1. ner(-t)-
alexandrine,1. ner(-t)-
alexandrite,1. ner(-t)-
alexia,leg̑-
alexin,aleq-
ale,alu-
alfresco,1. al-
algidity,algh-
algid,algh-
algolagnia,(s)lēg-
alias,1. al-
alibi,1. al-
alible,2. al-
alien,1. al-
aliform,ag̑-
align,lī̆-no-
alike,2. lē̆ig-
aliment,2. al-
alimony,2. al-
aliphatic,1. leip-
aliquot,ku̯o-
alive,1. leip-
allative,1. tel-
allege,ag̑-
allegiance,3. lē(i)-
allegory,1. ger-
allele,1. al-
allelomorph,2. mer-
allelopathy,"1. al- , ku̯enth-"
allergy,2. u̯erg̑-
alleviate,legu̯h-
alley,ambhi
Allhallowmas,kai-lo-
alligator,"1. al- , 2. lek-"
alliterate,deph-
alliteration,deph-
allocution,tolku̯-
allogeneic,1. g̑en-
allomerism,(s)mer-
allonym,en(o)mn̥-
allopatric,pətḗ(r)
alloy,4. leig-
allo-,1. al-
allude,leid-
alluvion,lou-
ally,4. leig-
all,1. al-
almighty,magh-
aloft,leup-
alone,oi-no-
along,5. del-
alopecia,u̯l̥p-
alpenhorn,1. k̑er-
alpenstock,1. (s)teu-
Alpheus,algu̯h-
already,reidh-
also,1. al-
altercate,1. al-
alternate,1. al-
alter,1. al-
althaea,2. al-
althea,2. al-
althorn,1. k̑er-
although,1. al-
altimeter,2. al-
altiplano,2. al-
altitude,2. al-
altocumulus,2. al-
altostratus,2. al-
alto,2. al-
altricial,2. al-
altruism,1. al-
alt,2. al-
alula,ag̑-
alumina,alu-
aluminum,alu-
alumnus,2. al-
alum,alu-
alveolus,au-lo-s
always,u̯eg̑h-
alyssum,u̯l̥ku̯os
amah,am(m)a
amanuensis,mə-r
amaranth,5. mer-
amarelle,om-
amaretto,om-
amass,mag̑-
amateur,am(m)a
amative,am(m)a
amatory,am(m)a
ambage,ag̑-
ambarella,"om- , 5. u̯er-"
ambassador,ag̑-
ambergris,3. g̑her-
ambidextrous,1. dek̑-
ambient,"ambhi , 1. ei-"
ambiguous,ambhi
ambition,1. ei-
ambivalence,"ambhi , u̯al-"
ambi-,ambhi
amble,ambhi
amblygonite,1. mel-
amblyopia,1. mel-
ambrosial,1. gu̯er-
ambrosia,4. mer-
ambry,1. ar-
ambsace,ambhi
ambulance,ambhi
ambulate,ambhi
ambulatory,ambhi
ameliorate,4. mel-
amenable,1. men-
amend,mendā
amenorrhea,mēnōt
amentia,3. men-
ament,3. men-
amethyst,médhu
amianthus,2. mai-
amicable,am(m)a
amice,"ambhi , i̯ē-"
amidst,medhi-
amid,medhi-
amigo,am(m)a
aminopterin,2. pet-
amiss,2. mei-t(h)-
amity,am(m)a
ammunition,1. mei-
amnesia,3. men-
amnesty,3. men-
amniocentesis,k̑ent-
amoeba,mei-gu̯-
among,men(ə)k-
amoretto,am(m)a
amorphous,2. mer-
amortize,4. mer-
amount,"1. ad- , 1. men-"
amour,am(m)a
amphibian,"ambhi , 3. gu̯ei̯-"
amphibious,"ambhi , 3. gu̯ei̯-"
amphibole,"ambhi , 2. gu̯el-"
amphibrach,"ambhi , mreg̑hu-"
amphictyonic,k̑þei-
amphictyony,k̑þei-
amphimacer,māk̑-
amphimixis,"ambhi , mei-k̑-"
amphioxus,ambhi
amphisbaena,gu̯ā-
amphistylar,"ambhi , stā-"
amphitheater,ambhi
amphithecium,"ambhi , 2. dhē-"
amphi-,ambhi
amphora,1. bher-
amphoteric,ambhi
amph-,ambhi
amplexicaul,plek̑-
amplexus,plek̑-
ample,1. am-
amplify,2. dhē-
amplitude,1. am-
amputate,pēu-
amrita,4. mer-
amylum,1. mel-
am,es-
anabaena,gu̯ā-
anabasis,gu̯ā-
anabiosis,3. gu̯ei̯-
anabolism,2. gu̯el-
anaclisis,k̑lei-
anacoluthon,2. sem-
anacrusis,3. kreu-
anadem,dē-
anadiplosis,du̯ō(u)
anadromous,3. der-
anaglyph,gleubh-
anagoge,ag̑-
anagram,gerebh-
analcime,aleq-
analects,leg̑-
analeptic,(s)lā̆gu̯-
analogous,leg̑-
analysis,2. leu-
anamnesis,3. men-
anapest,pēu-
anaphora,1. bher-
anarthrous,1. ar-
anasarca,tu̯erk̑-
anastomosis,stomen-
anastrophe,1. (s)ter-
anatase,1. ten-
anathema,2. dhē-
anatomy,1. tem-
ana,4. an-
ana-,4. an-
Anborn,"1. bher- , oi-no-"
ancestor,sed-
anchorite,1. g̑hē-
anchor,2. ank-
ancient,ant-s
ancillary,1. ku̯el-
ancon,2. ank-
ancylostomiasis,stomen-
andante,ambhi
androclinium,k̑lei-
androecium,u̯eik̑-
android,1. ner(-t)-
Andromeda,1. ner(-t)-
-androus,1. ner(-t)-
andro-,1. ner(-t)-
-andry,1. ner(-t)-
andr-,1. ner(-t)-
Andwise,2. u̯(e)id-
and,1. en
anecdote,dō-
anemia,sei-
anemone,3. an(ə)-
aneroid,neu̯os
anesthesia,8. au̯-
aneurysm,9. u̯er-
anew,neu̯os
anfractuous,1. bhreg̑-
anger,ang̑h-
angina,ang̑h-
Angle,2. ank-
angle,2. ank-
angry,ang̑h-
angst,ang̑h-
anguished,ang̑h-
anguish,ang̑h-
anhydrous,9. au̯(e)-
anile,1. an-
anilingus,āno-
anil,2. nei-
animadvert,3. an(ə)-
animal,3. an(ə)-
animate,3. an(ə)-
animato,3. an(ə)-
anima,3. an(ə)-
animism,3. an(ə)-
animosity,3. an(ə)-
animus,3. an(ə)-
anion,1. ei-
aniseikonia,3. u̯eik-
ankle,2. ank-
ankylosis,2. ank-
anlage,legh-
annals,at-
anneal,4. ā̆i-
annex,1. ned-
annihilate,1. nĕ
anniversary,"at- , 3h. u̯er-"
annotate,2. g̑en-
announce,1. neu-
annoy,2. od-
annual,at-
annuity,at-
annular,āno-
annulet,āno-
annulus,āno-
annul,1. nĕ
annum,at-
anode,sed-
anodyne,ed-
anoint,ongu̯-
anomalous,2. sem-
anomie,1. nem-
anonymous,en(o)mn̥-
anon,oi-no-
anopheles,obhel-
anorectic,1. reg̑-
anorexia,1. reg̑-
anorthite,u̯erdh-
anosmia,1. od-
another,2. an-
ansate,ansā
ansa,ansā
anschluss,4. an-
anserine,g̑han-s-
Anson,"oi-no- , 2. seu-"
answer,1. su̯er-
antagonize,ag̑-
anta,anətā
antecede,sed-
antefix,dhēigu̯-
antependium,1. (s)pen(-d)-
anterior,ant-s
ante,ant-s
ante-,ant-s
anthelion,sā́u̯el-
anthelmintic,7. u̯el-
anthemion,andh-
anthem,2. bhā-
anther,andh-
anthesis,andh-
anthology,leg̑-
anthurium,ers-
anticipate,kap-
antic,ant-s
antidote,"ant-s , dō-"
antinomianism,"ant-s , 1. nem-"
antinomian,"ant-s , 1. nem-"
antinomy,"ant-s , 1. nem-"
antipasto,"ant-s , pā-"
antiphon,"ant-s , 2. bhā-"
antipodes,"ant-s , 2. pē̆d-"
antique,ant-s
antithesis,"ant-s , 2. dhē-"
antitype,1. (s)teu-
anti-,ant-s
antler,oku̯-
antonomasia,en(o)mn̥-
antonym,ant-s
ant,1. mai-
anuran,ers-
anus,āno-
anvil,2a. pel-
anxious,ang̑h-
any,oi-no-
an,oi-no-
an-,1. nĕ
aorta,1. u̯er-
apathy,ku̯enth-
aperient,5. u̯er-
aperitif,5. u̯er-
aperture,5. u̯er-
apex,1. ap-
ape,abō(n)
aphelion,sā́u̯el-
aphonia,2. bhā-
aplanatic,pelə-
apnea,pneu-
Apocalypse,4. k̑el-
apocalypse,4. k̑el-
apocope,2. (s)kē̆p-
apocrine,4. (s)ker-
apodal,2. pē̆d-
apodictic,deik̑-
apodosis,dō-
apogamy,g̑em(e)-
Apollo,apelo-
apologue,leg̑-
apology,leg̑-
apomixis,mei-k̑-
aponeurosis,snēu-
apophasis,2. bhā-
apophyge,1. bheug-
apophysis,bheu-
apoplexy,2. plāk-
aporia,2b. per-
aposiopesis,su̯ī-
apostasy,stā-
apostle,3. stel-
apostrophe,1. (s)ter-
apothecary,2. dhē-
apothecium,2. dhē-
apotheosis,dhēs-
apotropaic,"apo- , 2. trep-"
apo-,apo-
appall,6. pel-
appanage,pā-
apparatus,2d. per-
apparel,2d. per-
appeal,2a. pel-
appease,pā̆k̑-
appendix,1. (s)pen(-d)-
append,1. (s)pen(-d)-
appetite,2. pet-
Appledore,"ā̆bel- , 7. (s)ter-n-"
apple,ā̆bel-
apply,plek̑-
appoggiatura,2. pē̆d-
apposite,apo-
apposition,apo-
appraise,2c. per-
appreciate,2c. per-
apprehend,ghend-
apprentice,ghend-
appressed,3. per-
apprise,ghend-
apprize,2c. per-
approach,2a. per-
appropriate,2a. per-
approve,2a. per-
approximate,2a. per-
apres,3. per-
apricot,peku̯-
apropos,apo-
apteryx,2. pet-
aptitude,1. ap-
apt,1. ap-
aquamarine,aku̯ā-
aquanaut,"aku̯ā- , 1. nāus-"
aquarelle,aku̯ā-
aquarium,aku̯ā-
aquatic,aku̯ā-
aquatint,aku̯ā-
aquavit,aku̯ā-
aqua,aku̯ā-
aqua-,aku̯ā-
aqueduct,"aku̯ā- , deuk-"
aqueous,aku̯ā-
aque-,aku̯ā-
aquifer,aku̯ā-
aqui-,aku̯ā-
arable,ar(ə)-
arbalest,2. gu̯el-
arbor,er(ə)d-
arcade,arqu-
arcane,areq-
archaeopteryx,2. pet-
archegonium,1. g̑en-
archer,arqu-
archetype,1. (s)teu-
Archet,kaito-
Archipelago,1. plā-k-
archipelago,1. plā-k-
architect,tek̑þ-
architrave,trē̆b-
archivolt,7. u̯el-
arch,arqu-
arciform,arqu-
arctic,ŕ̥k̑þo-s
Arcturus,"ŕ̥k̑þo-s , 8. u̯er-"
arcuate,arqu-
arc,arqu-
-ard,3. kar-
ardent,ā̆s-
ardor,ā̆s-
arduous,er(ə)d-
Areopagus,pā̆k̑-
are,3. er-
argentine,ar(e)-g̑-
argentite,ar(e)-g̑-
argent,ar(e)-g̑-
argil,ar(e)-g̑-
arginine,ar(e)-g̑-
Argive,ar(e)-g̑-
Argonaut,"ar(e)-g̑- , 1. nāus-"
argon,2. u̯erg̑-
Argos,ar(e)-g̑-
Argo,ar(e)-g̑-
argue,ar(e)-g̑-
arhat,algu̯h-
aria,1. u̯er-
arid,ā̆s-
arisen,3. er-
arise,3. er-
aristocracy,1. ar-
arithmetic,1. ar-
Arkenstone,"ar(e)-g̑- , stāi-"
ark,areq-
armada,1. ar-
armadillo,1. ar-
armature,1. ar-
armillary,1. ar-
armistice,stā-
armoire,1. ar-
armor,1. ar-
arms,1. ar-
army,1. ar-
arm,1. ar-
Arod,3. er-
arose,3. er-
arpent,2a. per-
arraign,1. ar-
arrange,3. (s)ker-
array,reidh-
arrest,stā-
arriere-ban,"2. bhā- , koro-s"
arrive,1. rei-
arrogate,1. reg̑-
arrow,arqu-
arsenic,1. g̑hel-
arse,ers-
arshin,8. el-
arsis,1. u̯er-
arson,ā̆s-
Artemis,ŕ̥k̑þo-s
arteriole,1. u̯er-
artery,1. u̯er-
arthro-,1. ar-
arthr-,1. ar-
article,1. ar-
artifact,2. dhē-
artifice,2. dhē-
artillery,1. ap-
artiodactyl,1. ar-
artisan,1. ar-
artiste,1. ar-
artist,1. ar-
art,3. er-
arugula,g̑hers-
Aryan,ario-?
asana,ē̆s-
asbestos,gu̯es-
ascertain,4. (s)ker-
ascribe,4. (s)ker-
Asgard,"ansu- , g̑herdh-"
ashram,1. ē̆
ash,*ōs
ask,1. ais-
asparagus,*(s)p(h)ereg-
aspect,spek̑-
aspen,apsā
asperse,*(s)p(h)ereg-
asp,apsā
assail,4. sel-
assai,sā-
assault,4. sel-
assay,ag̑-
assemble,2. sem-
assembly,2. sem-
assent,sent-
assert,4. ser-
assess,sed-
asset,sā-
asseverate,seg̑h-
assiduous,sed-
assign,1. seku̯-
assimilate,2. sem-
assist,stā-
assize,sed-
associate,1. seku̯-
assoil,2. leu-
assonance,su̯en-
assort,4. ser-
assuage,su̯ād-
assuasive,su̯ād-
assume,em-
ass,ers-
astasia,stā-
astasis,stā-
astatine,stā-
asteriated,2. stē̆r-
asterisk,2. stē̆r-
asterism,2. stē̆r-
asteroid,2. stē̆r-
aster,2. stē̆r-
asthenia,seg̑h-
astigmatism,(s)teig-
astonish,1. (s)ten-
astragalus,ost(h)-
astragal,ost(h)-
astral,2. stē̆r-
astraphobia,2. stē̆r-
astringent,2. streig-
astrobleme,"2. gu̯el- , 2. stē̆r-"
astrogate,2. stē̆r-
astrolabe,(s)lā̆gu̯-
astronaut,"1. nāus- , 2. stē̆r-"
astronomer,"1. nem- , 2. stē̆r-"
astronomy,"1. nem- , 2. stē̆r-"
Astron,au̯es-
astro-,2. stē̆r-
astr-,2. stē̆r-
astute,1. u̯es-
astylar,stā-
asunder,seni-
asymptote,2. pet-
asyndeton,dē-
as,1. al-
ataractic,1. dher-
atavism,au̯o-s
ataxia,tāg-
ate,ed-
atheism,dhēs-
athelas,ā̆tos
atheling,ā̆tos
Athelney,ā̆tos
Athelstan,stāi-
athlete,11. au̯ē-
athwart,terk-
atman,ēt-mén-
atmosphere,1. u̯āt-
atoll,1. en
atom,1. tem-
atone,oi-no-
atrabilious,āt(e)r-
atresia,3. ter-
atrium,āt(e)r-
atrocious,āt(e)r-
attach,2. (s)teg-
attack,2. (s)teg-
attain,tag-
attelet,1. g̑hasto-
attend,1. ten-
attenuate,1. ten-
Attercop,"gēu- , oid-"
attercop,oid-
atter,oid-
attest,trei-
attitude,1. ap-
attorney,3. ter-
attorn,3. ter-
attract,trāgh-
attrition,3. ter-
at,1. ad-
aubade,albho-
auburn,albho-
auction,au̯eg-
audible,8. au̯-
audience,8. au̯-
audile,8. au̯-
audio-,8. au̯-
audition,8. au̯-
auditorium,8. au̯-
auditory,8. au̯-
auditor,8. au̯-
audit,8. au̯-
augend,au̯eg-
auger,1. enebh-
aught,u̯ek-ti-
augite,aug-
augment,au̯eg-
augury,au̯eg-
augur,au̯eg-
Augustus,au̯eg-
August,au̯eg-
august,au̯eg-
auk,1. el-
aulos,au-lo-s
aunt,am(m)a
aural,2. ōus-
aura,1. u̯er-
aureate,au̯es-
aureole,au̯es-
auricle,2. ōus-
auric,au̯es-
auriferous,au̯es-
auriform,2. ōus-
Auriga,1. ōus-
aurochs,u̯egu̯-
aurora,au̯es-
auscultation,2. ōus-
auslander,"3. lendh- , ū̆d-"
auspice,spek̑-
austere,saus-
autacoid,i̯ēk-
autarky,areq-
authentic,sen-
authority,au̯eg-
authorize,au̯eg-
author,au̯eg-
autobahn,bhen-
autochthonous,g̑hðem-
autochthon,g̑hðem-
autocrat,3. kar-
autodidact,1. dens-
autoecious,u̯eik̑-
automatic,3. men-
automobile,4. au-
automotive,4. au-
autonomous,1. nem-
autopsy,oku̯-
auto,4. au-
auto-,4. au-
auxesis,au̯eg-
auxiliary,au̯eg-
auxin,au̯eg-
avail,u̯al-
avast,"5. kel- , pasto-"
avatar,"3. au- , 5. ter-"
avenge,deik̑-
avenue,gu̯ā-
avert,3h. u̯er-
aver,11. u̯er-
Avesta,2. steu-
